city,api_city,province,source_name
楚雄,楚雄彝族自治州,云南,楚雄彝族自治州
红河哈尼族,红河哈尼族彝族自治州,云南,红河哈尼族彝族自治州
文山,文山壮族苗族自治州,云南,文山壮族苗族自治州
西双版纳,西双版纳傣族自治州,云南,西双版纳傣族自治州
大理,大理白族自治州,云南,大理白族自治州
德宏景颇族,德宏傣族景颇族自治州,云南,德宏傣族景颇族自治州
怒江,怒江傈僳族自治州,云南,怒江傈僳族自治州
迪庆,迪庆藏族自治州,云南,迪庆藏族自治州
拉萨,拉萨市,西藏,拉萨市
日喀则,日喀则市,西藏,日喀则市
昌都,昌都市,西藏,昌都市
林芝,林芝市,西藏,林芝市
山南,山南市,西藏,山南市
那曲,那曲市,西藏,那曲市
阿里,阿里地区,西藏,阿里地区
西安,西安市,陕西,西安市
铜川,铜川市,陕西,铜川市
宝鸡,宝鸡市,陕西,宝鸡市
咸阳,咸阳市,陕西,咸阳市
渭南,渭南市,陕西,渭南市
延安,延安市,陕西,延安市
汉中,汉中市,陕西,汉中市
榆林,榆林市,陕西,榆林市
安康,安康市,陕西,安康市
商洛,商洛市,陕西,商洛市
兰州,兰州市,甘肃,兰州市
嘉峪关,嘉峪关市,甘肃,嘉峪关市
金昌,金昌市,甘肃,金昌市
白银,白银市,甘肃,白银市
天水,天水市,甘肃,天水市
武威,武威市,甘肃,武威市
张掖,张掖市,甘肃,张掖市
平凉,平凉市,甘肃,平凉市
酒泉,酒泉市,甘肃,酒泉市
庆阳,庆阳市,甘肃,庆阳市
定西,定西市,甘肃,定西市
陇南,陇南市,甘肃,陇南市
临夏,临夏回族自治州,甘肃,临夏回族自治州
甘南,甘南藏族自治州,甘肃,甘南藏族自治州
西宁,西宁市,青海,西宁市
海东,海东市,青海,海东市
海北,海北藏族自治州,青海,海北藏族自治州
黄南,黄南藏族自治州,青海,黄南藏族自治州
海南,海南藏族自治州,青海,海南藏族自治州
果洛,果洛藏族自治州,青海,果洛藏族自治州
玉树,玉树藏族自治州,青海,玉树藏族自治州
海西,海西蒙古族藏族自治州,青海,海西蒙古族藏族自治州
银川,银川市,宁夏,银川市
石嘴山,石嘴山市,宁夏,石嘴山市
吴忠,吴忠市,宁夏,吴忠市
固原,固原市,宁夏,固原市
中卫,中卫市,宁夏,中卫市
乌鲁木齐,乌鲁木齐市,新疆,乌鲁木齐市
克拉玛依,克拉玛依市,新疆,克拉玛依市
吐鲁番,吐鲁番市,新疆,吐鲁番市
哈密,哈密市,新疆,哈密市
昌吉,昌吉回族自治州,新疆,昌吉回族自治州
博尔塔拉,博尔塔拉蒙古自治州,新疆,博尔塔拉蒙古自治州
巴音郭楞,巴音郭楞蒙古自治州,新疆,巴音郭楞蒙古自治州
阿克苏,阿克苏地区,新疆,阿克苏地区
克孜勒苏,克孜勒苏柯尔克孜自治州,新疆,克孜勒苏柯尔克孜自治州
喀什,喀什地区,新疆,喀什地区
和田,和田地区,新疆,和田地区
伊犁,伊犁哈萨克自治州,新疆,伊犁哈萨克自治州
塔城,塔城地区,新疆,塔城地区
阿勒泰,阿勒泰地区,新疆,阿勒泰地区
湖北省-自治区直辖县级行政区划,湖北省-自治区直辖县级行政区划,湖北,湖北省-自治区直辖县级行政区划
海南省-自治区直辖县级行政区划,海南省-自治区直辖县级行政区划,海南,海南省-自治区直辖县级行政区划
新疆维吾尔自治区-自治区直辖县级行政区划,新疆维吾尔自治区-自治区直辖县级行政区划,新疆,新疆维吾尔自治区-自治区直辖县级行政区划
河南省-省直辖县级行政区划,河南省-省直辖县级行政区划,河南,河南省-省直辖县级行政区划
辛集,辛集市,河北,辛集市
晋州,晋州市,河北,晋州市
新乐,新乐市,河北,新乐市
遵化,遵化市,河北,遵化市
迁安,迁安市,河北,迁安市
滦州,滦州市,河北,滦州市
武安,武安市,河北,武安市
南宫,南宫市,河北,南宫市
沙河,沙河市,河北,沙河市
涿州,涿州市,河北,涿州市
定州,定州市,河北,定州市
安国,安国市,河北,安国市
高碑店,高碑店市,河北,高碑店市
平泉,平泉市,河北,平泉市
泊头,泊头市,河北,泊头市
任丘,任丘市,河北,任丘市
黄骅,黄骅市,河北,黄骅市
河间,河间市,河北,河间市
霸州,霸州市,河北,霸州市
三河,三河市,河北,三河市
深州,深州市,河北,深州市
古交,古交市,山西,古交市
高平,高平市,山西,高平市
怀仁,怀仁市,山西,怀仁市
介休,介休市,山西,介休市
永济,永济市,山西,永济市
河津,河津市,山西,河津市
原平,原平市,山西,原平市
侯马,侯马市,山西,侯马市
霍州,霍州市,山西,霍州市
孝义,孝义市,山西,孝义市
汾阳,汾阳市,山西,汾阳市
霍林郭勒,霍林郭勒市,内蒙古,霍林郭勒市
满洲里,满洲里市,内蒙古,满洲里市
牙克石,牙克石市,内蒙古,牙克石市
扎兰屯,扎兰屯市,内蒙古,扎兰屯市
